Slno,Videotitles,Published_date,Views,Likes,Comments,Month
46,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,28-11-2023,13619,430,11,Nov
47,Group By + Order By in MySQL | Beginner MySQL Series,28-11-2023,49962,1017,31,Nov
48,Where Clause in MySQL | Beginner MySQL Series,21-11-2023,54997,1080,55,Nov
49,Why Data Analysts Hate Using Excel,14-11-2023,24359,927,141,Nov
50,Select Statement in MySQL | Beginner MySQL Series,07-11-2023,91512,1272,49,Nov
51,Installing MySQL and Creating Databases | MySQL for Beginners,31-10-2023,278459,4009,455,Oct
52,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,26-10-2023,24687,973,15,Oct
53,How to Start a Data YouTube Channel,24-10-2023,8586,398,46,Oct
54,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,20-10-2023,5140,240,11,Oct
55,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,17-10-2023,15984,610,237,Oct
56,Data Analyst vs Business Analyst,13-10-2023,50529,3044,29,Oct
57,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,10-10-2023,31982,857,214,Oct
58,#DataAnalysis #DataAnalyst #DataRealities,09-10-2023,22273,1360,21,Oct
59,#DataAnalyst #DataCareers #DataAnalysis,05-10-2023,14711,1123,30,Oct
60,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",03-10-2023,35166,764,42,Oct
61,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,28-09-2023,8938,286,21,Sep
62,#Salary #DataAnalyst #SalaryNegotiation,28-09-2023,12386,851,7,Sep
63,AI and Analytics with SAS | SAS Explore Recap,26-09-2023,14715,397,28,Sep
64,My Very First Video,25-09-2023,8038,450,26,Sep
65,#DataAnalyst #CareerPath,22-09-2023,21242,1643,19,Sep
66,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",19-09-2023,43813,1085,53,Sep
67,#Excel #DataAnalyst #DataAnalysis,18-09-2023,13454,1105,20,Sep
68,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",12-09-2023,43318,1560,100,Sep
69,#DataAnalysis #DataAnalyst,07-09-2023,19187,1416,23,Sep
70,Hard Skills vs Soft Skills in the Data World | Which is More Important?,05-09-2023,14081,654,29,Sep
71,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",29-08-2023,40539,1821,113,Aug
72,#DataAnalyst #DataAnalysis #Promotion,28-08-2023,10229,605,10,Aug
73,#DataAnalyst #DataAnalysis,24-08-2023,19288,1306,53,Aug
74,Regular Expression Use Cases in Python,22-08-2023,8648,199,18,Aug
75,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,18-08-2023,8450,321,25,Aug
76,#DataAnalystSalary #DataAnalysis,17-08-2023,33489,2513,41,Aug
